,Surface,E0,Ebare,Eco,Eads
0,Fe_Zr2CO2,-454.21,-438.10,-14.78,-1.32
1,Fe_Hf3C2O2,-677.49,-660.89,-14.78,-1.83
2,Co_Hf4C3S2,-810.21,-793.98,-14.78,-1.45
3,Ta_Ti3C2O2,-610.00,-593.67,-14.78,-1.55
4,Fe_Hf2CO2,-483.96,-467.44,-14.78,-1.73
5,Au_Hf2CO2,-479.24,-462.66,-14.78,-1.80
6,Ta_Hf2CS2,-427.17,-410.50,-14.78,-1.89
7,Y_Hf2CS2,-424.40,-408.95,-14.78,-0.67
8,W_Hf3C2O2,-679.70,-662.94,-14.78,-1.97
9,Rh_Hf3C2O2,-675.87,-659.13,-14.78,-1.96
10,Re_Hf3C2S2,-620.05,-603.15,-14.78,-2.12
11,Mo_Hf3C2S2,-619.42,-602.82,-14.78,-1.81
12,Pd_Hf4C3O2,-869.02,-852.48,-14.78,-1.76
13,Co_Hf4C3O2,-870.61,-853.49,-14.78,-2.33
14,V_Hf4C3S2,-812.95,-796.64,-14.78,-1.54
15,Fe_Hf4C3S2,-811.39,-795.43,-14.78,-1.19
16,Ta_Ti2CO2,-437.05,-420.76,-14.78,-1.51
17,Ti_Ti2CO2,-434.96,-419.10,-14.78,-1.08
18,Mo_Ti2CS2,-379.06,-362.42,-14.78,-1.86
19,Mn_Ti2CS2,-377.76,-361.90,-14.78,-1.09
20,Cu_Ti3C2O2,-601.54,-585.01,-14.78,-1.75
21,Os_Ti3C2O2,-605.62,-588.72,-14.78,-2.12
22,Nb_Ti3C2S2,-551.91,-535.48,-14.78,-1.65
23,Ta_Ti3C2S2,-553.38,-536.64,-14.78,-1.97
24,Ru_Ti4C3O2,-778.55,-762.22,-14.78,-1.55
25,Nb_Ti4C3O2,-781.91,-765.59,-14.78,-1.54
26,Ta_Ti4C3S2,-726.60,-709.84,-14.78,-1.98
27,Ir_Ti4C3S2,-722.37,-706.13,-14.78,-1.46
28,Ag_Zr2CO2,-448.88,-432.98,-14.78,-1.12
29,Os_Zr2CO2,-455.20,-437.89,-14.78,-2.53
30,Nb_Zr2CS2,-398.89,-382.56,-14.78,-1.54
31,Au_Zr2CS2,-390.98,-374.56,-14.78,-1.63
32,Hf_Zr3C2O2,-637.26,-621.30,-14.78,-1.17
33,Ni_Zr3C2O2,-631.36,-614.70,-14.78,-1.88
34,Pt_Zr3C2S2,-573.43,-557.41,-14.78,-1.24
35,Ti_Zr3C2S2,-577.62,-561.62,-14.78,-1.21
36,Sc_Zr4C3O2,-815.16,-799.58,-14.78,-0.80
37,Zr_Zr4C3O2,-816.19,-800.33,-14.78,-1.08
38,Ni_Zr4C3S2,-753.60,-737.58,-14.78,-1.23
39,Cr_Zr4C3S2,-757.83,-741.88,-14.78,-1.17
40,V_Hf2CO2,-484.36,-468.19,-14.78,-1.39
41,Zr_Zr2CO2,-455.72,-439.78,-14.78,-1.17
42,Au_Ti2CO2,-428.60,-411.02,-14.78,-2.80
43,Pt_Hf2CO2,-482.96,-464.73,-14.78,-3.45
44,Mn_Ti2CO2,-434.37,-418.40,-14.78,-1.19
45,Ir_Zr2CO2,-453.96,-436.62,-14.78,-2.56
46,Cr_Ti2CO2,-434.97,-418.66,-14.78,-1.52
47,Rh_Zr4C3O2,-812.55,-795.81,-14.78,-1.96
48,Ta_Hf3C2O2,-680.29,-663.77,-14.78,-1.74
49,Ag_Hf2CO2,-478.31,-462.46,-14.78,-1.07
