,Surface,E0
0,Ag_Hf2CO2,-462.46234
1,Ag_Hf2CS2,-401.95734
2,Ag_Hf3C2O2,-656.18748
3,Ag_Hf3C2S2,-595.57189
4,Ag_Hf4C3O2,-850.59775
5,Ag_Hf4C3S2,-789.63579
6,Ag_Ti2CO2,-411.82271
7,Ag_Ti2CS2,-355.12062
8,Ag_Ti3C2O2,-584.34009
9,Ag_Ti3C2S2,-527.98705
10,Ag_Ti4C3O2,-758.03914
11,Ag_Ti4C3S2,-701.2359
12,Ag_Zr2CO2,-432.97762
13,Ag_Zr2CS2,-374.88087
14,Ag_Zr3C2O2,-612.59929
15,Ag_Zr3C2S2,-554.47608
16,Ag_Zr4C3O2,-792.86352
17,Ag_Zr4C3S2,-734.44587
18,Au_Hf2CO2,-462.65575
19,Au_Hf2CS2,-401.51034
20,Au_Hf3C2O2,-655.78486
21,Au_Hf3C2S2,-595.12705
22,Au_Hf4C3O2,-850.05164
23,Au_Hf4C3S2,-789.1924
24,Au_Ti2CO2,-411.01982
25,Au_Ti2CS2,-354.70865
26,Au_Ti3C2O2,-583.44986
27,Au_Ti3C2S2,-527.571
28,Au_Ti4C3O2,-757.37819
29,Au_Ti4C3S2,-700.81502
30,Au_Zr2CO2,-432.98664
31,Au_Zr2CS2,-374.5632
32,Au_Zr3C2O2,-611.96545
33,Au_Zr3C2S2,-554.07626
34,Au_Zr4C3O2,-792.37428
35,Au_Zr4C3S2,-734.00189
36,Co_Hf2CO2,-465.9189
37,Co_Hf2CS2,-406.25002
38,Co_Hf3C2O2,-659.64789
39,Co_Hf3C2S2,-599.84953
40,Co_Hf4C3O2,-853.49299
41,Co_Hf4C3S2,-793.9833
42,Co_Ti2CO2,-415.41951
43,Co_Ti2CS2,-359.25656
44,Co_Ti3C2O2,-587.96855
45,Co_Ti3C2S2,-532.09423
46,Co_Ti4C3O2,-761.6036
47,Co_Ti4C3S2,-705.41242
48,Co_Zr2CO2,-436.50521
49,Co_Zr2CS2,-379.2356
50,Co_Zr3C2O2,-616.13728
51,Co_Zr3C2S2,-558.80874
52,Co_Zr4C3O2,-796.37988
53,Co_Zr4C3S2,-738.80388
54,Cr_Hf2CO2,-468.00336
55,Cr_Hf2CS2,-408.937
56,Cr_Hf3C2O2,-661.44281
57,Cr_Hf3C2S2,-602.71431
58,Cr_Hf4C3O2,-856.91462
59,Cr_Hf4C3S2,-796.90389
60,Cr_Ti2CO2,-418.66477
61,Cr_Ti2CS2,-361.60508
62,Cr_Ti3C2O2,-591.32724
63,Cr_Ti3C2S2,-535.11959
64,Cr_Ti4C3O2,-765.05566
65,Cr_Ti4C3S2,-707.79163
66,Cr_Zr2CO2,-439.37675
67,Cr_Zr2CS2,-381.35599
68,Cr_Zr3C2O2,-619.05963
69,Cr_Zr3C2S2,-561.81984
70,Cr_Zr4C3O2,-799.34818
71,Cr_Zr4C3S2,-741.87739
72,Cu_Hf2CO2,-463.10653
73,Cu_Hf2CS2,-403.35473
74,Cu_Hf3C2O2,-656.92221
75,Cu_Hf3C2S2,-596.93536
76,Cu_Hf4C3O2,-851.32123
77,Cu_Hf4C3S2,-791.00137
78,Cu_Ti2CO2,-412.45717
79,Cu_Ti2CS2,-356.17788
80,Cu_Ti3C2O2,-585.00906
81,Cu_Ti3C2S2,-528.96732
82,Cu_Ti4C3O2,-758.66933
83,Cu_Ti4C3S2,-702.2101
84,Cu_Zr2CO2,-433.66958
85,Cu_Zr2CS2,-376.31163
86,Cu_Zr3C2O2,-613.33518
87,Cu_Zr3C2S2,-555.88095
88,Cu_Zr4C3O2,-793.59204
89,Cu_Zr4C3S2,-735.83748
90,Fe_Hf2CO2,-467.44266
91,Fe_Hf2CS2,-407.57519
92,Fe_Hf3C2O2,-660.88768
93,Fe_Hf3C2S2,-601.28891
94,Fe_Hf4C3O2,-855.26674
95,Fe_Hf4C3S2,-795.42643
96,Fe_Ti2CO2,-417.04596
97,Fe_Ti2CS2,-360.59231
98,Fe_Ti3C2O2,-589.48586
99,Fe_Ti3C2S2,-533.43958
100,Fe_Ti4C3O2,-763.13401
101,Fe_Ti4C3S2,-706.66346
102,Fe_Zr2CO2,-438.10168
103,Fe_Zr2CS2,-380.61325
104,Fe_Zr3C2O2,-617.34781
105,Fe_Zr3C2S2,-559.41188
106,Fe_Zr4C3O2,-797.57115
107,Fe_Zr4C3S2,-740.29904
108,Hf_Hf2CO2,-469.79292
109,Hf_Hf2CS2,-410.48479
110,Hf_Hf3C2O2,-664.30535
111,Hf_Hf3C2S2,-604.36533
112,Hf_Hf4C3O2,-858.85069
113,Hf_Hf4C3S2,-798.53375
114,Hf_Ti2CO2,-421.12143
115,Hf_Ti2CS2,-363.74025
116,Hf_Ti3C2O2,-594.07421
117,Hf_Ti3C2S2,-536.68243
118,Hf_Ti4C3O2,-767.82042
119,Hf_Ti4C3S2,-709.91362
120,Hf_Zr2CO2,-440.98402
121,Hf_Zr2CS2,-383.75325
122,Hf_Zr3C2O2,-621.30328
123,Hf_Zr3C2S2,-563.57794
124,Hf_Zr4C3O2,-801.66664
125,Hf_Zr4C3S2,-743.6097
126,Ir_Hf2CO2,-466.03753
127,Ir_Hf2CS2,-406.87335
128,Ir_Hf3C2O2,-658.93576
129,Ir_Hf3C2S2,-600.55881
130,Ir_Hf4C3O2,-853.29361
131,Ir_Hf4C3S2,-794.8164
132,Ir_Ti2CO2,-414.50407
133,Ir_Ti2CS2,-359.88375
134,Ir_Ti3C2O2,-586.98441
135,Ir_Ti3C2S2,-532.8463
136,Ir_Ti4C3O2,-760.55348
137,Ir_Ti4C3S2,-706.13007
138,Ir_Zr2CO2,-436.62
139,Ir_Zr2CS2,-379.98356
140,Ir_Zr3C2O2,-615.46291
141,Ir_Zr3C2S2,-559.61739
142,Ir_Zr4C3O2,-795.67937
143,Ir_Zr4C3S2,-739.72178
144,Mn_Hf2CO2,-468.26662
145,Mn_Hf2CS2,-408.84533
146,Mn_Hf3C2O2,-662.26907
147,Mn_Hf3C2S2,-602.60107
148,Mn_Hf4C3O2,-856.73932
149,Mn_Hf4C3S2,-796.73791
150,Mn_Ti2CO2,-418.39882
151,Mn_Ti2CS2,-361.8966
152,Mn_Ti3C2O2,-591.09325
153,Mn_Ti3C2S2,-534.78825
154,Mn_Ti4C3O2,-764.81903
155,Mn_Ti4C3S2,-708.01504
156,Mn_Zr2CO2,-439.00361
157,Mn_Zr2CS2,-381.88387
158,Mn_Zr3C2O2,-618.86768
159,Mn_Zr3C2S2,-561.5913
160,Mn_Zr4C3O2,-799.20195
161,Mn_Zr4C3S2,-741.60235
162,Mo_Hf2CO2,-468.84742
163,Mo_Hf2CS2,-409.13722
164,Mo_Hf3C2O2,-662.19145
165,Mo_Hf3C2S2,-602.82164
166,Mo_Hf4C3O2,-856.4371
167,Mo_Hf4C3S2,-797.00759
168,Mo_Ti2CO2,-419.20703
169,Mo_Ti2CS2,-362.4213
170,Mo_Ti3C2O2,-591.56487
171,Mo_Ti3C2S2,-535.31553
172,Mo_Ti4C3O2,-765.12964
173,Mo_Ti4C3S2,-708.5601
174,Mo_Zr2CO2,-439.78829
175,Mo_Zr2CS2,-382.3367
176,Mo_Zr3C2O2,-619.02566
177,Mo_Zr3C2S2,-561.97281
178,Mo_Zr4C3O2,-799.12946
179,Mo_Zr4C3S2,-742.04766
180,Nb_Hf2CO2,-468.60684
181,Nb_Hf2CS2,-409.27937
182,Nb_Hf3C2O2,-662.32789
183,Nb_Hf3C2S2,-603.06619
184,Nb_Hf4C3O2,-856.74832
185,Nb_Hf4C3S2,-797.23785
186,Nb_Ti2CO2,-419.29704
187,Nb_Ti2CS2,-362.55492
188,Nb_Ti3C2O2,-591.97755
189,Nb_Ti3C2S2,-535.47646
190,Nb_Ti4C3O2,-765.58889
191,Nb_Ti4C3S2,-708.70962
192,Nb_Zr2CO2,-439.64403
193,Nb_Zr2CS2,-382.56163
194,Nb_Zr3C2O2,-619.25731
195,Nb_Zr3C2S2,-562.30357
196,Nb_Zr4C3O2,-799.49646
197,Nb_Zr4C3S2,-742.34583
198,Ni_Hf2CO2,-465.02976
199,Ni_Hf2CS2,-405.06964
200,Ni_Hf3C2O2,-658.25731
201,Ni_Hf3C2S2,-598.64889
202,Ni_Hf4C3O2,-852.55263
203,Ni_Hf4C3S2,-792.78419
204,Ni_Ti2CO2,-414.11928
205,Ni_Ti2CS2,-358.08467
206,Ni_Ti3C2O2,-586.41797
207,Ni_Ti3C2S2,-530.88306
208,Ni_Ti4C3O2,-760.02757
209,Ni_Ti4C3S2,-704.18931
210,Ni_Zr2CO2,-435.5827
211,Ni_Zr2CS2,-378.02793
212,Ni_Zr3C2O2,-614.70247
213,Ni_Zr3C2S2,-557.5841
214,Ni_Zr4C3O2,-794.85624
215,Ni_Zr4C3S2,-737.58221
216,Os_Hf2CO2,-467.22523
217,Os_Hf2CS2,-408.33929
218,Os_Hf3C2O2,-660.43875
219,Os_Hf3C2S2,-602.08307
220,Os_Hf4C3O2,-854.68022
221,Os_Hf4C3S2,-796.28617
222,Os_Ti2CO2,-416.42379
223,Os_Ti2CS2,-361.31061
224,Os_Ti3C2O2,-588.71981
225,Os_Ti3C2S2,-534.26431
226,Os_Ti4C3O2,-762.31732
227,Os_Ti4C3S2,-707.50508
228,Os_Zr2CO2,-437.89027
229,Os_Zr2CS2,-381.48407
230,Os_Zr3C2O2,-617.00674
231,Os_Zr3C2S2,-561.15106
232,Os_Zr4C3O2,-797.11673
233,Os_Zr4C3S2,-741.22246
234,Pd_Hf2CO2,-465.068
235,Pd_Hf2CS2,-404.27466
236,Pd_Hf3C2O2,-658.2276
237,Pd_Hf3C2S2,-597.77348
238,Pd_Hf4C3O2,-852.4766
239,Pd_Hf4C3S2,-791.89109
240,Pd_Ti2CO2,-413.54964
241,Pd_Ti2CS2,-357.18787
242,Pd_Ti3C2O2,-585.8235
243,Pd_Ti3C2S2,-529.98629
244,Pd_Ti4C3O2,-759.42577
245,Pd_Ti4C3S2,-703.30432
246,Pd_Zr2CO2,-435.54758
247,Pd_Zr2CS2,-377.32687
248,Pd_Zr3C2O2,-614.60992
249,Pd_Zr3C2S2,-556.82677
250,Pd_Zr4C3O2,-794.71767
251,Pd_Zr4C3S2,-736.80501
252,Pt_Hf2CO2,-464.72805
253,Pt_Hf2CS2,-404.69662
254,Pt_Hf3C2O2,-657.90952
255,Pt_Hf3C2S2,-598.34906
256,Pt_Hf4C3O2,-852.13231
257,Pt_Hf4C3S2,-792.56058
258,Pt_Ti2CO2,-412.82149
259,Pt_Ti2CS2,-357.65742
260,Pt_Ti3C2O2,-585.41842
261,Pt_Ti3C2S2,-530.60455
262,Pt_Ti4C3O2,-758.8862
263,Pt_Ti4C3S2,-703.88601
264,Pt_Zr2CO2,-434.96689
265,Pt_Zr2CS2,-377.7943
266,Pt_Zr3C2O2,-614.04755
267,Pt_Zr3C2S2,-557.41097
268,Pt_Zr4C3O2,-794.40579
269,Pt_Zr4C3S2,-737.46804
