,Surface,E0,Ebare,Eco,Eads
0,Fe_Zr2CO2,-454.205,-438.10168,-14.78,-1.32
1,Fe_Hf3C2O2,-677.49455,-660.88768,-14.78,-1.83
2,Co_Hf4C3S2,-810.21073,-793.9833,-14.78,-1.45
3,Ta_Ti3C2O2,-610.0023,-593.67084,-14.78,-1.55
4,Fe_Hf2CO2,-483.95763,-467.44266,-14.78,-1.73
5,Au_Hf2CO2,-479.23663,-462.65575,-14.78,-1.80
6,Ta_Hf2CS2,-427.16949,-410.50035,-14.78,-1.89
7,Y_Hf2CS2,-424.40043,-408.94979,-14.78,-0.67
8,W_Hf3C2O2,-679.69707,-662.94426,-14.78,-1.97
9,Rh_Hf3C2O2,-675.87376,-659.12964,-14.78,-1.96
10,Re_Hf3C2S2,-620.05071,-603.14771,-14.78,-2.12
11,Mo_Hf3C2S2,-619.4165,-602.82164,-14.78,-1.81
12,Pd_Hf4C3O2,-869.02137,-852.4766,-14.78,-1.76
13,Co_Hf4C3O2,-870.60644,-853.49299,-14.78,-2.33
14,V_Hf4C3S2,-812.95492,-796.63657,-14.78,-1.54
15,Fe_Hf4C3S2,-811.39319,-795.42643,-14.78,-1.19
16,Ta_Ti2CO2,-437.04582,-420.75853,-14.78,-1.51
17,Ti_Ti2CO2,-434.96004,-419.10351,-14.78,-1.08
18,Mo_Ti2CS2,-379.05822,-362.4213,-14.78,-1.86
19,Mn_Ti2CS2,-377.76347,-361.8966,-14.78,-1.09
20,Cu_Ti3C2O2,-601.53951,-585.00906,-14.78,-1.75
21,Os_Ti3C2O2,-605.618,-588.71981,-14.78,-2.12
22,Nb_Ti3C2S2,-551.91118,-535.47646,-14.78,-1.65
23,Ta_Ti3C2S2,-553.38419,-536.63542,-14.78,-1.97
24,Ru_Ti4C3O2,-778.54516,-762.21888,-14.78,-1.55
25,Nb_Ti4C3O2,-781.90863,-765.58889,-14.78,-1.54
26,Ta_Ti4C3S2,-726.60213,-709.84379,-14.78,-1.98
27,Ir_Ti4C3S2,-722.3666,-706.13007,-14.78,-1.46
28,Ag_Zr2CO2,-448.87581,-432.97762,-14.78,-1.12
29,Os_Zr2CO2,-455.19644,-437.89027,-14.78,-2.53
30,Nb_Zr2CS2,-398.885,-382.56163,-14.78,-1.54
31,Au_Zr2CS2,-390.97815,-374.5632,-14.78,-1.63
32,Hf_Zr3C2O2,-637.25685,-621.30328,-14.78,-1.17
33,Ni_Zr3C2O2,-631.35932,-614.70247,-14.78,-1.88
34,Pt_Zr3C2S2,-573.4332,-557.41097,-14.78,-1.24
35,Ti_Zr3C2S2,-577.61544,-561.62157,-14.78,-1.21
36,Sc_Zr4C3O2,-815.16198,-799.58462,-14.78,-0.80
37,Zr_Zr4C3O2,-816.18671,-800.32891,-14.78,-1.08
38,Ni_Zr4C3S2,-753.59526,-737.58221,-14.78,-1.23
39,Cr_Zr4C3S2,-757.83236,-741.87739,-14.78,-1.17
